H.集計対象営業年月日,H.伝票番号,C.客層,D.オーダーキャンセル日時,D.オーダー日時,D.オーダー番号,D.価格,D.価格_増加率,D.価格_平準化,D.商品ID,D.商品カテゴリ1,D.商品カテゴリ2,D.商品名,D.帳票集計対象商品,D.数量,D.数量_増加率,D.数量_平準化,D.配膳済日時,H.テーブル番号ID,H.テーブル番号名,H.伝票処理日,H.伝票発行日,H.伝票税額,H.伝票金額,H.伝票金額_増加率,H.伝票金額_平準化,H.値引金額,H.客数（合計）,H.客数（女）,H.客数（男）,H.店舗ID,H.店舗名,H.支払金額（クレジットカード）,H.支払金額（現金）,H.曜日,H.総商品数,H.集計営業年,H.集計営業日,H.集計営業月,○日連休,サービス料金掛け率,営業締め時間,営業開始時間,天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),客単価/滞在時間,客構成,席数,平均気温(℃),平均湿度(％),平均風速(m/s),店舗名,曜日,最低気温(℃),最高気温(℃),注文時間,滞在時間,特別連休,特別連休名,特別連休名（隣接含）,特別連休＆隣接休日,男性比率,祝祭日,祝祭日名,翌日が休日,連休○日目,週末,都道府県,降水量の合計(mm),雨フラグ,〆,とり刺身,コース,スタンダード２,ドリンク,ビール,プレミアム１,リキュール,ワイン,一品料理,付き出し,単品 ウィスキー,単品 サワー,単品 スピリッツ,単品 ソフトドリンク,単品 リキュール,単品 果実酒,囲炉裏焼き,大和の和え野菜,大和の地酒,山口の地酒,山賊の〆,山賊の揚げ物,山賊の甘味,山賊の肴,山賊の逸品,日本酒,溶岩焼き,甘,米焼酎グラス,紫蘇焼酎グラス,芋焼酎グラス,飲み放題メニュー,飲み放題一覧,馬刺し,鮮魚,麦焼酎グラス
2018-04-01,No:201900300000383,登録なし, ,2018-04-01 19:42:00,1,280,1.5109763651838457,280.0,00000000297,ドリンク,ビール,こだわりの出汁巻き,Yes,1,1.4721485411140585,1.0, ,000000016,掘りごたつ4,2018-04-01 22:40:00,2018-04-01 19:42:00,1159,15779,1.5378887898690343,15779.0,0,3,0,3,003,大和乃山賊,0,15779,日,26,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,1.0,"男 : 3人, 女 : 0人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,178,0,,,0,1.0,0,,0,2,1,奈良県,0.0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,3,0
2018-04-01,No:201900300000384,登録なし, ,2018-04-01 21:34:00,1,420,1.2008298755186722,420.0,00000000651,ドリンク,とり刺身,いいちこ,Yes,1,1.119047619047619,1.0, ,000000011,テーブル2,2018-04-01 22:01:00,2018-04-01 21:34:00,278,3778,1.2232578438958523,3778.0,0,2,1,1,003,大和乃山賊,0,3778,日,6,2018,1,4,2,0.0,2400,1700,薄曇後晴,晴後一時薄曇,15.0,"男 : 1人, 女 : 1人",54,15.4,66,1.9,大和乃山賊,日,8.5,22.3,0 days 00:00:00.000000000,27,0,,,0,0.5,0,,0,2,1,奈良県,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2018-04-02,No:201900300000385,登録なし, ,2018-04-02 18:24:00,1,0,1.0,0.0,00000000297,ドリンク,とり刺身,こだわりの出汁巻き,Yes,1,0.7578947368421053,1.0, ,000000017,掘りごたつ5,2018-04-02 20:23:00,2018-04-02 18:24:00,3481,47191,0.5145286748509742,47191.0,0,11,0,11,003,大和乃山賊,0,47191,月,81,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,-0.0,"男 : 11人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,119,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,3,0,1,0,25,1,0,0,0,11,0,0,0,0,0,0,0,3,0,0,3,3,0,6,8,0,0,0,0,0,0,6,11,0,0,0
2018-04-02,No:201900300000386,登録なし, ,2018-04-02 19:08:00,1,380,1.5109763651838457,380.0,00000000297,ドリンク,ビール,付き出し,Yes,1,1.4721485411140585,1.0, ,000000012,テーブル3,2018-04-02 20:17:00,2018-04-02 19:08:00,788,10728,1.5378887898690343,10728.0,0,5,0,5,003,大和乃山賊,0,10728,月,18,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,5.0,"男 : 5人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,69,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,No:201900300000387,登録なし, ,2018-04-02 19:14:00,1,380,1.7855245242990405,380.0,00000000297,ドリンク,ビール,こだわりの出汁巻き,Yes,1,1.76464148877942,1.0, ,000000016,掘りごたつ4,2018-04-02 21:40:00,2018-04-02 19:14:00,1378,18768,1.7061461338162538,18768.0,0,4,0,4,003,大和乃山賊,0,18768,月,32,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,2.0,"男 : 4人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,146,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0
2018-04-02,No:201900300000388,登録なし, ,2018-04-02 19:19:00,1,380,1.7855245242990405,380.0,00000000297,ドリンク,ビール,イカの味噌バター焼き,Yes,1,1.76464148877942,1.0, ,000000015,掘りごたつ3,2018-04-02 19:59:00,2018-04-02 19:19:00,264,3604,1.7061461338162538,3604.0,0,2,1,1,003,大和乃山賊,0,3604,月,7,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,9.0,"男 : 1人, 女 : 1人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,40,0,,,0,0.5,0,,0,0,0,奈良県,0.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,No:201900300000389,登録なし, ,2018-04-02 19:32:00,1,380,0.7111882046834345,380.0,00000000297,ドリンク,ビール,まぜまぜ海鮮ユッケ,Yes,1,0.625,1.0, ,000000014,掘りごたつ2,2018-04-02 21:10:00,2018-04-02 19:32:00,618,8408,0.2725617363908964,8408.0,0,2,1,1,003,大和乃山賊,0,8408,月,13,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,3.0,"男 : 1人, 女 : 1人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,98,0,,,0,0.5,0,,0,0,0,奈良県,0.0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0
2018-04-02,No:201900300000390,登録なし, ,2018-04-02 19:47:00,1,380,1.7855245242990405,380.0,00000000297,ドリンク,とり刺身,こだわりの出汁巻き,Yes,1,1.76464148877942,1.0, ,000000009,カウンター9,2018-04-02 20:32:00,2018-04-02 19:47:00,353,4803,1.7061461338162538,4803.0,0,1,0,1,003,大和乃山賊,0,4803,月,7,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,8.0,"男 : 1人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,45,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,No:201900300000393,登録なし, ,2018-04-03 16:29:00,1,380,1.7855245242990405,380.0,00000000297,ドリンク,とり刺身,こだわりの出汁巻き,Yes,1,1.76464148877942,1.0, ,000000009,カウンター9,2018-04-03 16:31:00,2018-04-03 16:29:00,353,4803,1.7061461338162538,4803.0,0,1,0,1,003,大和乃山賊,4803,0,月,7,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,190.0,"男 : 1人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,2,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-02,No:201900300000394,登録なし, ,2018-04-03 16:31:00,1,380,1.114797611147976,380.0,00000000297,フード,とり刺身,こだわりの出汁巻き,Yes,1,1.4500745156482864,1.0, ,000000017,掘りごたつ5,2018-04-03 16:31:00,2018-04-03 16:31:00,3481,47191,1.5378887898690343,47191.0,0,11,0,11,003,大和乃山賊,47191,0,月,48,2018,2,4,0,0.0,2400,1700,快晴,晴後一時薄曇,,"男 : 11人, 女 : 0人",54,17.6,64,1.5,大和乃山賊,月,11.8,24.7,0 days 00:00:00.000000000,0,0,,,0,1.0,0,,0,0,0,奈良県,0.0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,3,3,0,6,8,0,0,0,0,0,0,0,11,0,0,0
