日付,曜日,週末,祝祭日,特別連休,特別連休＆隣接休日,連休○日目,○日連休,祝祭日名,特別連休名,特別連休名（隣接含）,翌日が休日
2018/04/29,日,1,1,0,0,2,3,昭和の日,,,2
2018/04/30,月,0,1,0,0,3,3,●振替（04/29）,,,0
2018/05/01,火,0,0,0,0,0,0,,,,0
2018/05/02,水,0,0,0,0,0,0,,,,3
2018/05/03,木,0,1,1,1,1,4,憲法記念日,GW,GW,3
2018/05/04,金,0,1,1,1,2,4,みどりの日,GW,GW,3
2018/05/05,土,1,1,1,1,3,4,こどもの日,GW,GW,1
2018/05/06,日,1,0,0,1,4,4,,,GW,0
2018/05/07,月,0,0,0,0,0,0,,,,0
2018/05/08,火,0,0,0,0,0,0,,,,0
2018/05/09,水,0,0,0,0,0,0,,,,0
2018/05/10,木,0,0,0,0,0,0,,,,0
2018/05/11,金,0,0,0,0,0,0,,,,1
2018/05/12,土,1,0,0,0,1,2,,,,1
2018/05/13,日,1,0,0,0,2,2,,,,0
2018/05/14,月,0,0,0,0,0,0,,,,0
2018/05/15,火,0,0,0,0,0,0,,,,0
2018/05/16,水,0,0,0,0,0,0,,,,0
2018/05/17,木,0,0,0,0,0,0,,,,0
2018/05/18,金,0,0,0,0,0,0,,,,1
2018/05/19,土,1,0,0,0,1,2,,,,1
2018/05/20,日,1,0,0,0,2,2,,,,0
2018/05/21,月,0,0,0,0,0,0,,,,0
2018/05/22,火,0,0,0,0,0,0,,,,0
2018/05/23,水,0,0,0,0,0,0,,,,0
2018/05/24,木,0,0,0,0,0,0,,,,0
2018/05/25,金,0,0,0,0,0,0,,,,1
2018/05/26,土,1,0,0,0,1,2,,,,1
2018/05/27,日,1,0,0,0,2,2,,,,0
2018/05/28,月,0,0,0,0,0,0,,,,0
2018/05/29,火,0,0,0,0,0,0,,,,0
2018/05/30,水,0,0,0,0,0,0,,,,0
2018/05/31,木,0,0,0,0,0,0,,,,0
2018/06/01,金,0,0,0,0,0,0,,,,1
2018/06/02,土,1,0,0,0,1,2,,,,1
2018/06/03,日,1,0,0,0,2,2,,,,0
2018/06/04,月,0,0,0,0,0,0,,,,0
2018/06/05,火,0,0,0,0,0,0,,,,0
2018/06/06,水,0,0,0,0,0,0,,,,0
2018/06/07,木,0,0,0,0,0,0,,,,0
2018/06/08,金,0,0,0,0,0,0,,,,1
2018/06/09,土,1,0,0,0,1,2,,,,1
2018/06/10,日,1,0,0,0,2,2,,,,0
2018/06/11,月,0,0,0,0,0,0,,,,0
2018/06/12,火,0,0,0,0,0,0,,,,0
2018/06/13,水,0,0,0,0,0,0,,,,0
2018/06/14,木,0,0,0,0,0,0,,,,0
2018/06/15,金,0,0,0,0,0,0,,,,1
2018/06/16,土,1,0,0,0,1,2,,,,1
2018/06/17,日,1,0,0,0,2,2,,,,0
2018/06/18,月,0,0,0,0,0,0,,,,0
2018/06/19,火,0,0,0,0,0,0,,,,0
2018/06/20,水,0,0,0,0,0,0,,,,0
2018/06/21,木,0,0,0,0,0,0,,,,0
2018/06/22,金,0,0,0,0,0,0,,,,1
2018/06/23,土,1,0,0,0,1,2,,,,1
2018/06/24,日,1,0,0,0,2,2,,,,0
2018/06/25,月,0,0,0,0,0,0,,,,0
2018/06/26,火,0,0,0,0,0,0,,,,0
2018/06/27,水,0,0,0,0,0,0,,,,0
2018/06/28,木,0,0,0,0,0,0,,,,0
2018/06/29,金,0,0,0,0,0,0,,,,1
2018/06/30,土,1,0,0,0,1,2,,,,1
2018/07/01,日,1,0,0,0,2,2,,,,0
2018/07/02,月,0,0,0,0,0,0,,,,0
2018/07/03,火,0,0,0,0,0,0,,,,0
2018/07/04,水,0,0,0,0,0,0,,,,0
2018/07/05,木,0,0,0,0,0,0,,,,0
2018/07/06,金,0,0,0,0,0,0,,,,1
2018/07/07,土,1,0,0,0,1,2,,,,1
2018/07/08,日,1,0,0,0,2,2,,,,0
2018/07/09,月,0,0,0,0,0,0,,,,0
2018/07/10,火,0,0,0,0,0,0,,,,0
2018/07/11,水,0,0,0,0,0,0,,,,0
2018/07/12,木,0,0,0,0,0,0,,,,0
2018/07/13,金,0,0,0,0,0,0,,,,1
2018/07/14,土,1,0,0,0,1,3,,,,1
2018/07/15,日,1,0,0,0,2,3,,,,2
2018/07/16,月,0,1,0,0,3,3,海の日,,,0
2018/07/17,火,0,0,0,0,0,0,,,,0
2018/07/18,水,0,0,0,0,0,0,,,,0
2018/07/19,木,0,0,0,0,0,0,,,,0
2018/07/20,金,0,0,0,0,0,0,,,,1
2018/07/21,土,1,0,0,0,1,2,,,,1
2018/07/22,日,1,0,0,0,2,2,,,,0
2018/07/23,月,0,0,0,0,0,0,,,,0
2018/07/24,火,0,0,0,0,0,0,,,,0
2018/07/25,水,0,0,0,0,0,0,,,,0
2018/07/26,木,0,0,0,0,0,0,,,,0
2018/07/27,金,0,0,0,0,0,0,,,,1
2018/07/28,土,1,0,0,0,1,2,,,,1
2018/07/29,日,1,0,0,0,2,2,,,,0
2018/07/30,月,0,0,0,0,0,0,,,,0
2018/07/31,火,0,0,0,0,0,0,,,,0
2018/08/01,水,0,0,0,0,0,0,,,,0
2018/08/02,木,0,0,0,0,0,0,,,,0
2018/08/03,金,0,0,0,0,0,0,,,,1
2018/08/04,土,1,0,0,0,1,2,,,,1
2018/08/05,日,1,0,0,0,2,2,,,,0
2018/08/06,月,0,0,0,0,0,0,,,,0
